Method:,Hadamard 1,,
Host Date-Time:,24/8/18 @ 13:14:4,,
Header Version:,1,,
System Temp (C):,34.42,,
Detector Temp (C):,29.79,,
Humidity (%):,10.99,,
Lamp PD:,3774,,
Shift Vector Coefficients:,-9.31287,0.0592924,-8.53699e-05,,
Pixel to Wavelength Coefficients:,1745.69,-0.945483,-0.000234135,,
Serial Number:,5490031,,
Scan Config Name:,Hadamard 1,,
Scan Config Type:,Slew,,
Section 1,,
Start wavelength (nm):,900,,
End wavelength (nm):,1700,,
Pattern Pixel Width (nm):,   7.03,,,,
Exposure (ms):,  0.635,,,,
Digital Resolution:,228,,
Num Repeats:,6,,
PGA Gain:,64,,
Total Measurement Time in sec:,  2.449,,
Wavelength (nm),Absorbance (AU),Reference Signal (unitless),Sample Signal (unitless)
901.629613,0.342833,33639.000000,15276.000000
905.521072,0.366864,38213.000000,16419.000000
909.408318,0.371927,42332.000000,17978.000000
913.291349,0.383677,46950.000000,19407.000000
917.170165,0.384054,51785.000000,21387.000000
921.044767,0.383609,58287.000000,24097.000000
924.915155,0.385707,66979.000000,27557.000000
930.069116,0.402139,82100.000000,32524.000000
933.929670,0.420149,94317.000000,35846.000000
937.786010,0.439068,106099.000000,38605.000000
941.638135,0.455839,116718.000000,40860.000000
945.486046,0.471735,125961.000000,42511.000000
949.329742,0.488185,134812.000000,43807.000000
953.169224,0.503940,143641.000000,45013.000000
957.004491,0.513881,152380.000000,46671.000000
960.835544,0.523834,161986.000000,48489.000000
965.937059,0.534080,175129.000000,51201.000000
969.758279,0.542348,185335.000000,53163.000000
973.575284,0.544250,195809.000000,55922.000000
977.388074,0.549823,206740.000000,58291.000000
981.196650,0.552487,217308.000000,60896.000000
985.001012,0.556868,228047.000000,63264.000000
988.801159,0.558850,238038.000000,65735.000000
992.597092,0.559215,247444.000000,68275.000000
996.388810,0.559909,256381.000000,70628.000000
1000.176314,0.559988,264317.000000,72801.000000
1005.219764,0.558743,273187.000000,75460.000000
1008.997434,0.558591,278661.000000,76999.000000
1012.770890,0.556877,283378.000000,78612.000000
1016.540131,0.555385,286796.000000,79834.000000
1020.305158,0.554143,289545.000000,80830.000000
1024.065971,0.553013,290768.000000,81383.000000
1027.822569,0.551422,291659.000000,81932.000000
1031.574953,0.548650,291738.000000,82479.000000
1035.323122,0.548071,291180.000000,82431.000000
1040.314125,0.546523,289060.000000,82123.000000
1044.052461,0.545250,287270.000000,81854.000000
1047.786582,0.544392,285260.000000,81442.000000
1051.516489,0.541382,282938.000000,81341.000000
1055.242181,0.539400,280933.000000,81134.000000
1058.963659,0.538217,278805.000000,80739.000000
1062.680922,0.536005,276533.000000,80490.000000
1066.393971,0.534451,275025.000000,80338.000000
1070.102806,0.532999,273940.000000,80289.000000
1075.041363,0.532104,272610.000000,80064.000000
1078.740364,0.531191,271864.000000,80013.000000
1082.435151,0.530536,271322.000000,79974.000000
1086.125723,0.530563,271668.000000,80071.000000
